Index,ADC_Sample,Original_Signal,FFT_Real,FFT_Imag
          0,0000,0000,7fe77de,7ff1eca
          1,0000,0000,7febdb6,000bf52
          2,278d,278d,000377e,000e960
          3,4b3c,4b3c,000b1b5,7ff7a1c
          4,678d,678d,7ff4ffd,7fe7b3d
          5,79bc,79bc,7fdb83d,7ff6b35
          6,8000,8000,7fde298,0013a79
          7,79bc,79bc,7ff76e6,001b050
          8,678d,678d,0003d26,000625f
          9,4b3c,4b3c,7ff132c,7ff47d6
         10,278d,278d,7fd7706,0001d00
         11,0000,0000,7fd908b,0020a7f
         12,d873,d873,7ff4c98,002ba02
         13,b4c4,b4c4,0006ae9,001738b
         14,9873,9873,7ff7a9f,0001e2e
         15,8644,8644,7fdd0fb,000bd9c
         16,8000,8000,7fdce08,002b87c
         17,8644,8644,7ffacc3,00393b6
         18,9873,9873,0012061,0023f17
         19,b4c4,b4c4,0005bc0,000923d
         20,d873,d873,7fe86ab,000e719
         21,0000,0000,7fe4818,002ed5a
         22,278d,278d,00038fb,003fb0a
         23,4b3c,4b3c,001fb51,0029390
         24,678d,678d,0014f49,0007d69
         25,79bc,79bc,7ff25ed,00080d9
         26,8000,8000,7fe8280,002a97a
         27,79bc,79bc,000790a,0040ee7
         28,678d,678d,0029444,002a48b
         29,4b3c,4b3c,001fa36,00019a8
         30,278d,278d,7ff5100,7ffccfb
         31,0000,0000,7fe1cda,0024a46
         32,d873,d873,000213a,004515e
         33,b4c4,b4c4,002ca55,0030331
         34,9873,9873,00259f4,7ffe775
         35,8644,8644,7fefd9c,7ff3e54
         36,8001,8001,7fcfc2c,0026259
         37,8644,8644,7ff38fa,00590ba
         38,9873,9873,002fd90,0048a96
         39,b4c4,b4c4,00305f8,0007d69
         40,d873,d873,7fe8bb2,7ff2f60
         41,0000,0000,7fb215d,0039eae
         42,278d,278d,7fdfb61,0094435
         43,4b3c,4b3c,004766a,009000a
         44,678d,678d,00607b0,002bcb8
         45,79bc,79bc,7fee8c0,7ff98ae
         46,7fff,7fff,7f71ab5,008049e
         47,79bc,79bc,7fbc50b,01808c2
         48,678d,678d,0105973,0200de4
         49,4b3c,4b3c,027d34a,0139cab
         50,278d,278d,02f1d81,7f74870
         51,0000,0000,01f24a7,7de55fc
         52,d873,d873,003f6ba,7d97a9f
         53,b4c4,b4c4,7f16658,7e80d1d
         54,9873,9873,7f0fd7c,7fa673a
         55,8644,8644,7fb73f6,001f5fc
         56,8001,8001,002cfe9,7fdce5b
         57,8644,8644,000e383,7f7f317
